No.,英語,品詞,日本語,学年,ページ,単元,
1,nice,形,すてきな、よい,1,6,U0,
2,to,前,【不定詞（名詞的）】…する［である］こと,1,6,U0,
3,meet,動,…と知り合いになる,1,6,U0,
4,you,代,あなた（たち）を［に］,1,6,U0,
5,good,形,よい,1,6,U0,
6,morning,名,朝、午前,1,6,U0,
7,I,代,私は［が］,1,6,U0,
8,am,動,（I）…です、…だ,1,6,U0,
9,hi,間,やあ、こんにちは,1,6,U0,
10,my,代,私の,1,6,U0,
11,name,名,名前,1,6,U0,
12,is,動,（he sheなど）…です、…だ,1,6,U0,
13,hello,間,やあ、こんにちは,1,7,U0,
15,like,動,…を好む、…が好きである,1,7,U0,
16,tennis,名,テニス,1,7,U0,
17,yes,副,はい、ええ、そうです,1,7,U0,
18,Nice to meet you.,連,はじめまして。,1,6,U0,
19,Good morning.,連,おはようございます。,1,6,U0,
20,I’m,短,I am,1,6,U0,
21,you,代,あなた（たち）は［が］,1,7,U0,
22,apple,名,リンゴ,1,8,SaL0,
23,bat,名,バット,1,8,SaL0,
24,cat,名,ネコ,1,8,SaL0,
25,dog,名,イヌ,1,8,SaL0,
26,egg,名,卵,1,8,SaL0,
27,flower,名,花,1,8,SaL0,
28,gorilla,名,ゴリラ,1,8,SaL0,
29,horse,名,ウマ,1,8,SaL0,
30,ink,名,インク,1,8,SaL0,
31,jump,動,とぶ,1,8,SaL0,
32,koala,名,コアラ,1,8,SaL0,
33,log,名,丸太,1,8,SaL0,
34,monkey,名,サル,1,8,SaL0,
35,net,名,網、ネット,1,8,SaL0,
36,octopus,名,タコ,1,8,SaL0,
37,pan,名,平なべ,1,8,SaL0,
38,queen,名,女王、王妃,1,8,SaL0,
39,rabbit,名,ウサギ,1,8,SaL0,
40,snake,名,ヘビ,1,8,SaL0,
41,tree,名,木、樹木,1,8,SaL0,
42,umbrella,名,傘,1,8,SaL0,
44,wolf,名,オオカミ,1,8,SaL0,
45,fox,名,キツネ,1,8,SaL0,
46,yo-yo,名,ヨーヨー,1,8,SaL0,
47,zipper,名,ジッパー、ファスナー,1,8,SaL0,
48,city,名,市、都市、都会,1,8,SaL0,
49,gym,名,体育館,1,8,SaL0,
50,apron,名,エプロン,1,8,SaL0,
51,evening,名,夕方、晩［ふつう日没から寝る時刻までをさす］,1,8,SaL0,
52,ice,名,氷,1,8,SaL0,
53,ocean,名,大洋、海,1,8,SaL0,
54,uniform,名,制服、ユニフォーム,1,8,SaL0,
55,fan,名,扇、うちわ、扇風機,1,9,SaL0,
56,pen,名,ペン,1,9,SaL0,
57,ten,名/形,10（の）,1,9,SaL0,
58,sun,名,太陽、日,1,9,SaL0,
59,run,動,走る、運行している,1,9,SaL0,
60,hat,名,（ふちのある）帽子,1,9,SaL0,
61,hot,形,熱い、暑い,1,9,SaL0,
62,cup,名,カップ,1,9,SaL0,
63,cap,名,（ふちがない、ひさしのついた）帽子,1,9,SaL0,
64,map,名,地図,1,9,SaL0,
65,mop,名,モップ,1,9,SaL0,
66,cut,動,…を切る、…の供給をとめる,1,9,SaL0,
67,TV,名,テレビ,1,9,SaL0,
68,milk,名,牛乳、ミルク,1,9,SaL0,
69,box,名,箱,1,9,SaL0,
70,bag,名,かばん、バッグ、ふくろ,1,9,SaL0,
71,desk,名,机,1,9,SaL0,
72,bed,名,ベッド,1,9,SaL0,
73,red,名/形,赤（い）,1,10,GfC0,
74,P.E.,名,体育,1,10,GfC0,
75,play,動,（競技・ゲームなどを）する、（曲・楽器などを）演奏する,1,10,GfC0,
76,soccer,名,サッカー,1,10,GfC0,
77,have,動,…を持っている、…がある、…がいる、…を飼う,1,10,GfC0,
78,a,冠,1つの、1人の,1,10,GfC0,
79,want,動,…がほしい,1,10,GfC0,
80,call,動,…を（～と）呼ぶ、名づける,1,12,U1-1,
81,South Africa,名,南アフリカ共和国,1,12,U1-1,
82,love,動,…が大好きである、…を愛している,1,13,U1-1,
83,everyone,代,みなさん、みんな、だれでも,1,12,U1-1,
84,me,代,私を［に］,1,12,U1-1,
85,from,前,【起源・出所】…から、…出身の、…に由来する,1,12,U1-1,
86,Japanese,形,日本の、日本人の、日本語の,1,13,U1-1,
87,sweet,名,甘い菓子、キャンディー,1,13,U1-1,
88,and,接,…と～,1,13,U1-1,
89,too,副,…もまた、そのうえ,1,13,U1-1,
90,join,動,…に加わる、参加する,1,13,U1-1,
91,the,冠,［状況や文脈から何をさすかわかる場合］その,1,13,U1-1,
92,club,名,クラブ、部,1,13,U1-1,
93,Call me ....,連,私を…と呼んでください。,1,12,U1-1,
94,want to,連,…したい,1,13,U1-1,
95,number,名,数、数字,1,13,U1-1,
96,one,名/形,1つ［1人］（の）,1,13,U1-1,
97,two,名/形,2（つの）,1,13,U1-1,
98,three,名/形,3（つの）,1,13,U1-1,
99,four,名/形,4（つの）,1,13,U1-1,
100,five,名/形,5（つの）,1,13,U1-1,
101,six,名/形,6（つの）,1,13,U1-1,
102,seven,名/形,7（つの）,1,13,U1-1,
103,eight,名/形,8（つの）,1,13,U1-1,
104,nine,名/形,9（つの）,1,13,U1-1,
105,eleven,名/形,11（の）,1,13,U1-1,
106,twelve,名/形,12（の）,1,12,U1-1,
107,thirteen,名/形,13（の）,1,13,U1-1,
108,fourteen,名/形,14（の）,1,13,U1-1,
109,fifteen,名/形,15（の）,1,13,U1-1,
110,sixteen,名/形,16（の）,1,13,U1-1,
111,seventeen,名/形,17（の）,1,13,U1-1,
112,eighteen,名/形,18（の）,1,13,U1-1,
113,nineteen,名/形,19（の）,1,13,U1-1,
114,twenty,名/形,20（の）,1,13,U1-1,
115,thirty,名/形,30（の）,1,13,U1-1,
116,forty,名/形,40（の）,1,13,U1-1,
117,fifty,名/形,50（の）,1,13,U1-1,
118,sixty,名/形,60（の）,1,13,U1-1,
119,seventy,名/形,70（の）,1,13,U1-1,
120,eighty,名/形,80（の）,1,13,U1-1,
121,ninety,名/形,90（の）,1,13,U1-1,
122,hundred,名/形,100（の）,1,13,U1-1,
123,zero,名/形,0（の）,1,13,U1-1,
124,fan,名,ファン,1,14,U1-2,
125,often,副,しばしば、よく,1,14,U1-2,
126,with,前,…といっしょに,1,14,U1-2,
127,but,接,しかし、けれども,1,15,U1-2,
128,rugby,名,ラグビー,1,14,U1-2,
129,watch,動,…を（注意して）見る,1,14,U1-2,
130,friend,名,友達,1,14,U1-2,
131,great,形,すばらしい、とても楽しい,1,14,U1-2,
132,no,副,いいえ、いや、だめだ,1,15,U1-2,
133,not,副,…でない、…しない、…ではなく,1,15,U1-2,
134,oh,間,まあ、あら、ああ、おや,1,15,U1-2,
135,don’t,短,do not,1,15,U1-2,
137,draw,動,（線画）をかく,1,16,U1-3,
138,an,冠,1つの、1人の［母音の前に置く。］,1,16,U1-3,
139,anime,名,（日本の）アニメ,1,16,U1-3,
140,so,接,だから、それで、では,1,17,U1-3,
141,about,前,…について、…に関する,1,17,U1-3,
142,lesson,名,授業、レッスン,1,17,U1-3,
143,comic,名,マンガ,1,16,U1-3,
144,wow,間,うわあ、わあ,1,16,U1-3,
145,are,動,（we theyなど）…です、…だ,1,16,U1-3,
146,in,前,…に所属して、参加して,1,17,U1-3,
147,art,名,芸術、美術,1,17,U1-3,
149,school,名,学校,1,17,U1-3,
150,now,副,今、現在は、今では、今すぐ,1,17,U1-3,
151,take,動,…を利用する、…を受ける,1,17,U1-3,
152,swimming,名,水泳,1,17,U1-3,
153,How about you?,連,あなたはどうですか。,1,17,U1-3,
154,shop,名,店,1,18,SaL1,
155,cherry,名,さくらんぼ,1,18,SaL1,
156,think,動,考える、思う,1,18,SaL1,
157,this,代,これ、この人［もの、こと］,1,18,SaL1,
158,white,名/形,白（い）,1,18,SaL1,
159,photo,名,写真［photographの短縮］,1,18,SaL1,
160,sing,動,歌う,1,18,SaL1,
161,black,名/形,黒（い）,1,18,SaL1,
162,cake,名,ケーキ,1,18,SaL1,
163,we,代,私たちは［が］,1,18,SaL1,
164,rice,名,米、稲、ご飯,1,18,SaL1,
165,home,名,家庭、家,1,18,SaL1,
166,cute,形,かわいい,1,18,SaL1,
